packet_id,timestamp,length,direction,gap_before,gap_after,burst_id,rel_time,viz_bytes,cumulative_sum
5,14.694880485534668,286,1,7.079467535018921,0.0003275871276855469,3,0.0,286.0,286.0
6,14.695208072662354,190,1,0.0003275871276855469,0.0029938220977783203,3,0.0003275871276855469,190.0,476.0
7,14.698201894760132,1514,1,0.0029938220977783203,0.0010852813720703125,3,0.003321409225463867,1514.0,1990.0
8,14.699287176132202,1514,1,0.0010852813720703125,4.839897155761719e-05,3,0.00440669059753418,1514.0,3504.0
9,14.69933557510376,1514,1,4.839897155761719e-05,3.147125243962989e-05,3,0.004455089569091797,1514.0,5018.0
10,14.6993670463562,1514,1,3.147125243962989e-05,3.027915954945115e-05,3,0.004486560821531427,1514.0,6532.0
11,14.699397325515749,313,1,3.027915954945115e-05,0.012455463409423828,3,0.004516839981080878,313.0,6845.0
12,14.711852788925173,79,1,0.012455463409423828,0.0029876232147199033,3,0.016972303390504706,79.0,6924.0
13,14.714840412139893,286,1,0.0029876232147199033,0.001333475112915039,3,0.01995992660522461,286.0,7210.0
14,14.716173887252808,190,1,0.001333475112915039,0.01110386848449707,3,0.02129340171813965,190.0,7400.0
15,14.727277755737305,1514,1,0.01110386848449707,0.006084203720090997,3,0.03239727020263672,1514.0,8914.0
16,14.733361959457396,60,-1,0.006084203720090997,0.0020003318786638857,3,0.038481473922727716,-60.0,8854.0
17,14.73536229133606,1514,1,0.0020003318786638857,0.0015566349029541016,3,0.0404818058013916,1514.0,10368.0
18,14.736918926239014,95,-1,0.0015566349029541016,6.151199340820312e-05,3,0.0420384407043457,-95.0,10273.0
19,14.736980438232422,1514,1,6.151199340820312e-05,0.002287149429321289,3,0.042099952697753906,1514.0,11787.0
20,14.739267587661743,60,-1,0.002287149429321289,0.0007994174957275391,3,0.044387102127075195,-60.0,11727.0
21,14.74006700515747,74,1,0.0007994174957275391,0.00018668174743652344,3,0.045186519622802734,74.0,11801.0
22,14.740253686904907,60,-1,0.00018668174743652344,2.6226043683408307e-06,3,0.04537320137023926,-60.0,11741.0
23,14.740256309509276,60,-1,2.6226043683408307e-06,2.1457672136904193e-06,3,0.0453758239746076,-60.0,11681.0
24,14.74025845527649,60,-1,2.1457672136904193e-06,1.430511474609375e-06,3,0.04537796974182129,-60.0,11621.0
25,14.740259885787964,60,-1,1.430511474609375e-06,0.0007846355438250185,3,0.0453794002532959,-60.0,11561.0
26,14.741044521331789,89,1,0.0007846355438250185,0.03225088119506658,3,0.04616403579712092,89.0,11650.0
27,14.773295402526855,60,-1,0.03225088119506658,4.76837158203125e-06,3,0.0784149169921875,-60.0,11590.0
28,14.773300170898438,60,-1,4.76837158203125e-06,2.1457672119140625e-06,3,0.07841968536376953,-60.0,11530.0
29,14.77330231666565,60,-1,2.1457672119140625e-06,0.00033283233642578125,3,0.07842183113098145,-60.0,11470.0
30,14.773635149002075,60,-1,0.00033283233642578125,0.003104686737060547,3,0.07875466346740723,-60.0,11410.0
31,14.776739835739136,66,-1,0.003104686737060547,0.0016515254974365234,3,0.08185935020446777,-66.0,11344.0
32,14.778391361236572,54,1,0.0016515254974365234,0.0007193088531494141,3,0.0835108757019043,54.0,11398.0
33,14.779110670089722,60,-1,0.0007193088531494141,0.0054645538330078125,3,0.08423018455505371,-60.0,11338.0
34,14.78457522392273,60,-1,0.0054645538330078125,0.0018706321716308594,3,0.08969473838806152,-60.0,11278.0
35,14.78644585609436,312,1,0.0018706321716308594,0.0098078250884992,3,0.09156537055969238,312.0,11590.0
36,14.79625368118286,1514,1,0.0098078250884992,0.001080274581910956,3,0.10137319564819158,1514.0,13104.0
37,14.79733395576477,1514,1,0.001080274581910956,5.3882598876953125e-05,3,0.10245347023010254,1514.0,14618.0
38,14.797387838363647,1514,1,5.3882598876953125e-05,3.0040740966796875e-05,3,0.10250735282897949,1514.0,16132.0
39,14.797417879104614,1514,1,3.0040740966796875e-05,4.5537948610174794e-05,3,0.10253739356994629,1514.0,17646.0
40,14.797463417053224,252,1,4.5537948610174794e-05,0.018924474716184747,3,0.10258293151855646,252.0,17898.0
41,14.81638789176941,172,1,0.018924474716184747,0.00550079345703125,3,0.12150740623474121,172.0,18070.0
42,14.82188868522644,60,-1,0.00550079345703125,0.00412964820861994,3,0.12700819969177246,-60.0,18010.0
43,14.82601833343506,60,-1,0.00412964820861994,0.00031590461730779396,3,0.1311378479003924,-60.0,17950.0
44,14.826334238052368,191,-1,0.00031590461730779396,0.0023736953735351562,3,0.1314537525177002,-191.0,17759.0
45,14.828707933425903,54,1,0.0023736953735351562,0.0018033981323242188,3,0.13382744789123535,54.0,17813.0
46,14.830511331558228,105,1,0.0018033981323242188,0.0002799034118652344,3,0.13563084602355957,105.0,17918.0
47,14.830791234970093,172,1,0.0002799034118652344,0.007731914520263672,3,0.1359107494354248,172.0,18090.0
48,14.838523149490356,60,-1,0.007731914520263672,0.0029458999633789062,3,0.14364266395568848,-60.0,18030.0
49,14.841469049453735,60,-1,0.0029458999633789062,2.86102294921875e-06,3,0.14658856391906738,-60.0,17970.0
50,14.841471910476685,60,-1,2.86102294921875e-06,1.6689300537109375e-06,3,0.1465914249420166,-60.0,17910.0
51,14.841473579406738,60,-1,1.6689300537109375e-06,0.00281524658203125,3,0.1465930938720703,-60.0,17850.0
52,14.84428882598877,172,1,0.00281524658203125,0.009140729904174805,3,0.14940834045410156,172.0,18022.0
53,14.853429555892944,60,-1,0.009140729904174805,0.012145519256591797,3,0.15854907035827637,-60.0,17962.0
54,14.865575075149536,146,-1,0.012145519256591797,3.5762786882997943e-06,3,0.17069458961486816,-146.0,17816.0
55,14.865578651428224,92,-1,3.5762786882997943e-06,0.0017271041870099424,3,0.17069816589355646,-92.0,17724.0
56,14.867305755615234,54,1,0.0017271041870099424,0.011394739151000977,3,0.1724252700805664,54.0,17778.0
57,14.878700494766235,172,1,0.011394739151000977,0.0034446716308611514,3,0.18382000923156738,172.0,17950.0
58,14.882145166397097,60,-1,0.0034446716308611514,0.010304927825925958,3,0.18726468086242853,-60.0,17890.0
59,14.892450094223022,172,1,0.010304927825925958,0.014130115509033203,3,0.1975696086883545,172.0,18062.0
60,14.906580209732056,172,1,0.014130115509033203,0.008636236190795898,3,0.2116997241973877,172.0,18234.0
61,14.915216445922852,60,-1,0.008636236190795898,0.0014696121215820312,3,0.2203359603881836,-60.0,18174.0
62,14.916686058044434,767,1,0.0014696121215820312,0.011415958404542792,3,0.22180557250976562,767.0,18941.0
63,14.928102016448976,172,1,0.011415958404542792,0.0017690658569318174,3,0.23322153091430842,172.0,19113.0
64,14.929871082305908,60,-1,0.0017690658569318174,0.025193452835083008,3,0.23499059677124023,-60.0,19053.0
65,14.955064535140991,172,1,0.025193452835083008,0.00011467933654962792,3,0.26018404960632324,172.0,19225.0
66,14.95517921447754,60,-1,0.00011467933654962792,0.005326032638548028,3,0.26029872894287287,-60.0,19165.0
67,14.960505247116089,419,-1,0.005326032638548028,0.0019252300262451172,3,0.2656247615814209,-419.0,18746.0
68,14.962430477142334,85,1,0.0019252300262451172,0.0002675056457519531,3,0.267549991607666,85.0,18831.0
69,14.962697982788086,54,1,0.0002675056457519531,0.0037724971771240234,3,0.26781749725341797,54.0,18885.0
70,14.96647047996521,60,-1,0.0037724971771240234,0.009621381759643555,3,0.271589994430542,-60.0,18825.0
71,14.976091861724854,172,1,0.009621381759643555,0.019033432006835938,3,0.28121137619018555,172.0,18997.0
72,14.99512529373169,172,1,0.019033432006835938,0.006117105484008789,3,0.3002448081970215,172.0,19169.0
73,15.001242399215698,60,-1,0.006117105484008789,0.00298404693603338,3,0.3063619136810303,-60.0,19109.0
74,15.004226446151732,172,1,0.00298404693603338,0.00015091896057306542,3,0.30934596061706365,172.0,19281.0
75,15.004377365112305,54,1,0.00015091896057306542,0.012015581130981445,3,0.3094968795776367,54.0,19335.0
76,15.016392946243286,60,-1,0.012015581130981445,0.026184558868408203,3,0.32151246070861816,-60.0,19275.0
77,15.042577505111694,60,-1,0.026184558868408203,0.009563684463500977,3,0.34769701957702637,-60.0,19215.0
78,15.052141189575195,172,1,0.009563684463500977,0.0011093616485613467,3,0.35726070404052734,172.0,19387.0
79,15.053250551223757,172,1,0.0011093616485613467,0.014027833938596856,3,0.3583700656890887,172.0,19559.0
80,15.067278385162354,172,1,0.014027833938596856,0.02068328857421875,3,0.37239789962768555,172.0,19731.0
81,15.087961673736572,172,1,0.02068328857421875,0.006676197052001953,3,0.3930811882019043,172.0,19903.0
82,15.094637870788574,60,-1,0.006676197052001953,0.021045207977294922,3,0.39975738525390625,-60.0,19843.0
83,15.11568307876587,172,1,0.021045207977294922,0.009998083114622247,3,0.42080259323120117,172.0,20015.0
84,15.125681161880491,60,-1,0.009998083114622247,0.004414796829225409,3,0.4308006763458234,-60.0,19955.0
85,15.130095958709717,172,1,0.004414796829225409,0.02070689201355158,3,0.43521547317504883,172.0,20127.0
86,15.150802850723268,172,1,0.02070689201355158,0.013784885406492364,3,0.4559223651886004,172.0,20299.0
87,15.16458773612976,172,1,0.013784885406492364,0.0030584335327148438,3,0.4697072505950928,172.0,20471.0
88,15.167646169662476,60,-1,0.0030584335327148438,0.03205680847167969,3,0.4727656841278076,-60.0,20411.0
89,15.199702978134155,172,1,0.03205680847167969,0.0025467872619628906,3,0.5048224925994873,172.0,20583.0
90,15.202249765396118,60,-1,0.0025467872619628906,0.012078523635864258,3,0.5073692798614502,-60.0,20523.0
91,15.214328289031982,172,1,0.012078523635864258,0.003981113433837891,3,0.5194478034973145,172.0,20695.0
92,15.21830940246582,286,1,0.003981113433837891,0.0006606578826904297,3,0.5234289169311523,286.0,20981.0
93,15.21897006034851,190,1,0.0006606578826904297,0.0010294914245605469,3,0.5240895748138428,190.0,21171.0
94,15.219999551773071,1514,1,0.0010294914245605469,0.0006711483001708984,3,0.5251190662384033,1514.0,22685.0
