index,timestamp,length,direction,overhead,status,burst_id
0,0.143967,600,1.0,298.0,padded,1
1,0.163967,600,-1.0,289.0,padded,1
2,0.183967,600,-1.0,303.0,padded,1
3,0.203967,600,-1.0,317.0,padded,1
4,0.223967,600,1.0,295.0,padded,1
5,0.243967,600,1.0,306.0,padded,1
6,0.263967,600,-1.0,257.0,padded,1
7,0.283967,600,-1.0,278.0,padded,1
8,0.303967,600,-1.0,331.0,padded,1
9,0.323967,600,1.0,319.0,padded,1
10,0.343967,600,-1.0,305.0,padded,1
11,0.363967,600,-1.0,266.0,padded,1
12,0.383967,600,1.0,325.0,padded,1
13,0.403967,600,-1.0,298.0,padded,1
14,0.423967,600,1.0,293.0,padded,1
15,0.443967,600,-1.0,292.0,padded,1
16,0.463967,600,-1.0,294.0,padded,1
17,0.483967,600,-1.0,318.0,padded,1
18,0.503967,600,1.0,300.0,padded,1
19,0.523967,600,-1.0,313.0,padded,1
20,0.543967,600,-1.0,294.0,padded,1
21,0.563967,600,1.0,307.0,padded,1
22,0.583967,600,-1.0,317.0,padded,1
23,0.603967,600,-1.0,303.0,padded,1
24,0.623967,600,1.0,304.0,padded,1
25,0.643967,600,1.0,305.0,padded,1
26,0.663967,600,1.0,296.0,padded,1
27,0.683967,600,-1.0,278.0,padded,1
28,0.703967,600,-1.0,329.0,padded,1
29,0.723967,600,-1.0,314.0,padded,1
30,0.743967,600,-1.0,275.0,padded,1
31,0.763967,600,1.0,295.0,padded,1
32,0.783967,600,1.0,298.0,padded,1
33,0.803967,600,-1.0,294.0,padded,1
34,0.823967,600,1.0,286.0,padded,1
35,0.843967,600,-1.0,325.0,padded,1
36,0.863967,600,1.0,299.0,padded,1
37,0.883967,600,-1.0,280.0,padded,1
38,0.903967,600,-1.0,283.0,padded,1
39,0.923967,600,-1.0,269.0,padded,1
40,0.943967,600,-1.0,321.0,padded,1
41,0.963967,600,-1.0,278.0,padded,1
42,0.983967,600,1.0,317.0,padded,1
43,1.003967,600,1.0,305.0,padded,1
44,1.023967,600,-1.0,303.0,padded,1
45,1.043967,600,1.0,304.0,padded,1
46,1.063967,600,1.0,294.0,padded,1
47,1.083967,600,1.0,288.0,padded,1
48,1.103967,600,-1.0,282.0,padded,1
49,1.123967,600,1.0,336.0,padded,1
50,1.143967,600,-1.0,323.0,padded,1
51,1.163967,600,1.0,284.0,padded,1
