packet_id,timestamp,length,direction
126,15.53458571434021,172,1
127,15.549031972885132,172,1
128,15.552254676818848,60,-1
129,15.562776803970337,172,1
130,15.586402416229248,60,-1
131,15.597495794296265,172,1
132,15.612002849578857,172,1
133,15.625683307647705,172,1
134,15.636450052261353,60,-1
135,15.646610021591187,172,1
136,15.663079023361206,60,-1
137,15.67481541633606,172,1
138,15.694985151290894,172,1
139,15.709158182144165,172,1
140,15.71207332611084,60,-1
141,15.746534585952759,60,-1
142,15.74696946144104,172,1
143,15.75755000114441,172,1
144,15.771621704101562,172,1
145,15.786080837249756,172,1
146,15.795469284057617,60,-1
147,15.806754112243652,172,1
148,15.823279619216919,60,-1
149,15.83488416671753,172,1
150,15.85627007484436,172,1
151,15.869756937026978,172,1
152,15.873414754867554,60,-1
153,15.883395671844482,172,1
154,15.90906572341919,60,-1
155,15.919061660766602,172,1
156,15.932565689086914,172,1
157,15.946670293807983,172,1
158,15.957077503204346,60,-1
159,15.968356847763062,172,1
160,15.984298467636108,60,-1
161,15.995571613311768,172,1
162,16.009809732437134,172,1
163,16.033069372177124,172,1
164,16.033310651779175,60,-1
165,16.04478144645691,172,1
166,16.070480823516846,60,-1
167,16.07981586456299,172,1
168,16.093785762786865,172,1
169,16.107914209365845,172,1
170,16.116926193237305,60,-1
171,16.121781826019287,172,1
172,16.146225214004517,60,-1
173,16.157185316085815,172,1
174,16.171066284179688,172,1
175,16.191610097885132,172,1
176,16.194283962249756,60,-1
177,16.206055164337158,172,1
178,16.229249715805054,60,-1
179,16.233516693115234,172,1
180,16.254571437835693,172,1
181,16.269283056259155,172,1
182,16.272941827774048,60,-1
183,16.283196926116943,172,1
184,16.306874752044678,60,-1
185,16.31760883331299,172,1
186,16.33205246925354,172,1
187,16.345978021621704,172,1
188,16.355671644210815,60,-1
189,16.366848707199097,172,1
190,16.383482217788696,60,-1
191,16.39530086517334,172,1
192,16.415618658065796,172,1
193,16.433571577072144,60,-1
194,16.45203185081482,172,1
195,16.45217990875244,172,1
196,16.478686809539795,172,1
197,16.4900062084198,60,-1
198,16.492676258087158,172,1
199,16.50709295272827,172,1
200,16.516287088394165,60,-1
201,16.527798414230347,172,1
202,16.544883012771606,60,-1
203,16.555556297302246,172,1
204,16.569990396499634,172,1
205,16.590479850769043,172,1
206,16.593077182769775,60,-1
207,16.604345560073853,172,1
208,16.628499269485474,60,-1
209,16.639971494674683,172,1
210,16.653383016586304,172,1
211,16.667450428009033,172,1
212,16.677886724472046,60,-1
213,16.682899475097656,172,1
214,16.70517921447754,60,-1
215,16.7165584564209,172,1
216,16.730467796325684,172,1
217,16.75387954711914,172,1
218,16.754337310791016,60,-1
219,16.765808820724487,172,1
220,16.79131293296814,60,-1
221,16.793357133865356,172,1
222,16.81453585624695,172,1
223,16.828861236572266,172,1
224,16.830732822418213,60,-1
225,16.842642545700073,172,1
226,16.866377353668213,60,-1
227,16.878119945526123,172,1
228,16.891796827316284,172,1
229,16.905646324157715,172,1
230,16.915547609329224,60,-1
231,16.927284479141235,172,1
232,16.943164110183716,60,-1
233,16.954540729522705,172,1
234,16.975889682769775,172,1
235,16.990290641784668,172,1
236,16.992374420166016,60,-1
237,17.00382113456726,172,1
238,17.028191804885864,60,-1
